FPS,Latency,Graph,TotalParts,PartitionPoint1,PartitionPoint2,Order,InferenceTime1,InferenceTime2,InferenceTime3
10.6684,126.971,alexnet,8,1,8,G-B-L,24.8011,93.6879,0
10.6577,126.339,alexnet,8,2,8,G-B-L,31.9001,93.7833,0
11.3386,129.505,alexnet,8,3,8,G-B-L,40.7155,88.124,0
10.9421,141.463,alexnet,8,4,8,G-B-L,49.3368,91.3088,0
12.8742,129.25,alexnet,8,5,8,G-B-L,51.0768,77.6575,0
11.5637,157.875,alexnet,8,6,8,G-B-L,86.0626,29.0159,0
10.3083,176.021,alexnet,8,7,8,G-B-L,96.5463,5.93413,0
3.06074,346.762,alexnet,8,1,8,G-L-B,19.5305,326.579,0
4.63254,249.494,alexnet,8,2,8,G-L-B,33.1026,215.779,0
5.5552,224.39,alexnet,8,3,8,G-L-B,43.881,179.882,0
6.60196,199.518,alexnet,8,4,8,G-L-B,47.5787,151.328,0
7.91286,179,alexnet,8,5,8,G-L-B,52.3061,126.351,0
11.9796,157.79,alexnet,8,6,8,G-L-B,83.0657,48.5574,0
10.6027,172.229,alexnet,8,7,8,G-L-B,94.0296,9.60307,0
11.1765,104.648,alexnet,8,1,8,B-G-L,15.1729,89.1676,0
13.2309,115.968,alexnet,8,2,8,B-G-L,40.386,75.3057,0
13.9056,120.392,alexnet,8,3,8,B-G-L,48.4774,71.5509,0
15.0418,123.782,alexnet,8,4,8,B-G-L,57.2989,66.1405,0
14.6281,136.64,alexnet,8,5,8,B-G-L,68.277,61.9956,0
9.78198,198.052,alexnet,8,6,8,B-G-L,102.227,34.9826,0
8.28674,230.909,alexnet,8,7,8,B-G-L,120.673,17.8377,0
3.04813,342.59,alexnet,8,1,8,B-L-G,14.5182,327.926,0
4.58316,252.317,alexnet,8,2,8,B-L-G,34.125,218.092,0
5.52996,221.444,alexnet,8,3,8,B-L-G,40.6097,180.709,0
6.66793,196.399,alexnet,8,4,8,B-L-G,46.4257,149.847,0
7.9229,176.841,alexnet,8,5,8,B-L-G,50.6236,126.193,0
10.0182,194.076,alexnet,8,6,8,B-L-G,99.8164,47.9748,0
8.34597,228.486,alexnet,8,7,8,B-L-G,119.817,9.7681,0
10.8445,184.254,alexnet,8,1,8,L-G-B,92.2104,89.3782,0
4.96206,392.692,alexnet,8,2,8,L-G-B,201.527,83.5145,0
4.25988,454.959,alexnet,8,3,8,L-G-B,234.747,79.2774,0
3.74786,516.924,alexnet,8,4,8,L-G-B,266.817,75.8493,0
3.35517,578.415,alexnet,8,5,8,L-G-B,298.046,74.9811,0
2.75217,694.006,alexnet,8,6,8,L-G-B,363.348,34.7066,0
2.49341,764.078,alexnet,8,7,8,L-G-B,401.055,17.4119,0
8.94585,195.178,alexnet,8,1,8,L-B-G,83.392,111.707,0
5.11723,380.656,alexnet,8,2,8,L-B-G,195.416,92.4148,0
4.38935,441.59,alexnet,8,3,8,L-B-G,227.823,86.0849,0
